director,d_score
Jay Oliva,3.3989991970868
Jay Roach,101.404764156029
Jay Russell,11.1123594216416
Jean-Claude Van Damme,7.50503386417719
Jean-Fran?ois Richet,11.1535269709544
Jean-Jacques Annaud,38.0848424626501
Jean-Marc Vall?e,32.8999613394038
Jean-Pierre Jeunet,88.154034605465
Jeb Stuart,1.22742496880541
Jeff Newitt,6.60298803473645
Jeff Nichols,17.9297423242082
Jeff Pollack,0.877979329255431
Jeff Schaffer,22.1178414096916
Jeff Tremaine,14.4794722202517
Jeff Wadlow,28.9521593040253
Jeffrey Nachmanoff,5.07599204156074
Jennifer Chambers Lynch,1.82215098927821
Jennifer Kent,21.3039634715047
Jennifer Lee,75.8487256491349
Jennifer Yuh,49.1636789851076
Jeremiah S. Chechik,10.7631362583153
Jerry Zucker,14.2299278280959
Jerusha Hess,2.49395380976426
Jesse Dylan,26.8073408140057
Jesse Peretz,8.23605310850209
Jessie Nelson,15.3683220543436
Jessy Terrero,3.88160792951542
Jiang Wen,6.11722117829115
Jim Fall,7.15037454342847
Jim Field Smith,14.4394115369725
Jim Gillespie,24.0224601037631
Jim Jarmusch,12.2863070539419
Jim Mickle,6.48896631823461
Jim Sheridan,17.1313593479329
Jim Sonzero,4.74652166959859
Jimmy Hayward,10.8476428928751
Jingle Ma,0.893671039110198
Joby Harold,14.3531752264279
Jodie Foster,5.86124024899535
Joe Carnahan,63.8714124671547
Joe Cornish,15.8657710188322
Joe Dante,20.0315256839147
Joe Johnston,174.209103904379
Joe Pytka,77.9022515101592
Joe Ranft,168.755797217336
Joe Roth,3.05133535902767
Joe Russo,15.5957140572525
Joe Wright,59.4657867871567
Joel Coen,185.77454597775
Joel Gallen,11.3839422624767
Joel Schumacher,82.5486632916792
Joel Zwick,22.3466702651643
John A. Davis,14.7481209019671
John Bonito,7.11978250439789
John Boorman,2.49023736991679
John Bruno,3.8631090487239
John Cameron Mitchell,5.89044571033314
John Carney,25.4593978237631
John Carpenter,20.0908045834482
John Crowley,6.94217272275089
John Curran,0.805616740088106
John Dahl,15.5926373041104
John Erick Dowdle,19.4753247487209
John Fortenberry,8.07235219373645
John Frankenheimer,25.1479212404784
John Hamburg,25.709420863157
John Herzfeld,5.83937670695948
John Hillcoat,28.1278483734135
John Hyams,3.27115926343197
John Landis,6.22547789307491
John Lasseter,157.421693735499
John Lee Hancock,37.2792557662445
John Luessenhop,12.8025551684088
John Madden,28.1114822224634
John Maybury,13.50622406639
John McNaughton,19.2660139023843
John McTiernan,22.9665422995369
John Michael McDonagh,7.88235757623513
John Moore,60.9195231065611
John Musker,40.9521329106719
John Patrick Shanley,10.3472145462584
John Polson,15.7717842323651
John R. Leonetti,17.3040906658853
John Requa,60.3490963414243
John Sanford,11.0589207048458
John Sayles,3.30221490023796
John Schlesinger,1.30175734232065
John Schultz,2.37054418898966
John Singleton,64.2609544783534
John Stevenson,104.448297778269
John Stockwell,16.2716709822909
John Waters,1.53799559471366
John Wells,9.08853407864043
John Whitesell,14.8924617252718
John Woo,76.5787678138404
Jon Amiel,24.1082790980239
Jon Avnet,14.0402518012409
Jon Favreau,210.890923401923
Jon Kasdan,4.75838961310926
Jon Lucas,14.1233688574694
Jon M. Chu,54.754994473249
Jon Mallard,0.640346752264317
Jon Turteltaub,86.1432323163574
Jonas ?kerlund,2.56930423744182
Jonas Elmer,1.95490539805356
Jonathan Demme,10.4730176211454
Jonathan Frakes,43.1026791019326
Jonathan Glazer,15.0412405414392
Jonathan Hensleigh,23.0699339207048
Jonathan Kaplan,3.33632145117064
Jonathan Levine,44.5594995076509
Jonathan Liebesman,60.9824810101729
Jonathan Lynn,19.0098792159368
Jonathan M. Goldstein,13.5909627097427
Jonathan Mostow,64.8269717136859
Jonathan Teplitzky,3.38852419804927
Jonathan van Tulleken,12.4426608552369
Jorma Taccone,4.67673248161053
Jos? Padilha,38.1383768177063
Josef Rusnak,13.0818920059059
Joseph Kahn,3.88160792951542
Joseph Kosinski,131.551596219636
Joseph Ruben,9.66740088105727
Josh Boone,50.7708777706588
Josh Trank,33.1157345175521
Joshua Michael Stern,2.01738145241517
Joss Whedon,202.273028238319
Juan Antonio Bayona,26.8634385002953
Juan Carlos Fresnadillo,44.3076278728862
Juan Jos? Campanella,15.4158254246509
Judd Apatow,74.3762198924893
Julian Jarrold,1.56184370509561
Julian Schnabel,7.33260038741427
Julie Anne Robinson,6.15150167338695
Julie Delpy,1.29802328887982
Jun Falkenstein,7.43861338468946
Justin Chadwick,3.713822521062
Justin Kerrigan,2.63393798776629
Justin Lin,156.464983384748
Justin Zackham,6.23488452441066
K?tia Lund,65.9537143242696
Karey Kirkpatrick,40.5997121381737
Karyn Kusama,32.0702632621186
Kat Coiro,1.92006146087779
Kathryn Bigelow,56.6269368596263
Katt Shea,2.10715039021304
Keanu Reeves,4.63550110293141
Keenen Ivory Wayans,51.1196179739113
Keith Gordon,0.650878671160327
Kelly Asbury,14.3499330234024
Ken Kwapis,25.1616737269377
Ken Loach,4.23796577642732
Kenneth Branagh,122.487226435365
Kenneth Johnson,0.701385696460235
Kenneth Lonergan,1.46531006224884
Kerry Conran,14.5011013215859
Kevin Allen,4.10132158590308
Kevin Bray,9.6132975633554
Kevin Costner,10.4954483752596
Kevin Greutert,22.6886930681093
Kevin Hooks,1.95130880468607
Kevin Lima,33.6970294937172
Kevin Macdonald,21.4745468076836
