X,TMDBID,title,releaseDate,rating,num_rating,stars,star1,star2,star3,star4,star5,director,runtime,genres,production,country,budget,revenue,date,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,ScienceFiction,Thriller,War,Western
2642,4244,The Kid,7/7/00,5.8,114,"['Bruce Willis', 'Spencer Breslin', 'Emily Mortimer', 'Lily Tomlin', 'Chi McBride']",Bruce Willis,Spencer Breslin,Emily Mortimer,Lily Tomlin,Chi McBride,Jon Turteltaub,104,"['Fantasy', 'Comedy', 'Family']",Walt Disney Pictures,United States of America,65000000,69700000,7/7/00,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2643,4247,Scary Movie,7/7/00,5.9,516,"['Carmen Electra', 'Dave Sheridan', 'Anna Faris', 'Jon Abrahams', 'Regina Hall']",Carmen Electra,Dave Sheridan,Anna Faris,Jon Abrahams,Regina Hall,Keenen Ivory Wayans,88,['Comedy'],Gold/Miller Productions,United States of America,19000000,278019771,7/7/00,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2650,36657,X-Men,7/13/00,6.6,2413,"['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen', 'Famke Janssen', 'James Marsden']",Hugh Jackman,Patrick Stewart,Ian McKellen,Famke Janssen,James Marsden,Bryan Singer,104,"['Adventure', 'Action', 'Science Fiction']",Twentieth Century Fox Film Corporation,United States of America,75000000,157299717,7/13/00,2000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2652,36047,The In Crowd,7/19/00,5,11,"['Susan Ward', 'Lori Heuring', 'Matthew Settle', 'Nathan Bexton', 'Tess Harper']",Susan Ward,Lori Heuring,Matthew Settle,Nathan Bexton,Tess Harper,Mary Lambert,105,['Thriller'],Warner Bros. Pictures,United States of America,15000000,5217498,7/19/00,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2653,2655,What Lies Beneath,7/21/00,6.2,186,"['Harrison Ford', 'Michelle Pfeiffer', 'Diana Scarwid', 'James Remar', 'Miranda Otto']",Harrison Ford,Michelle Pfeiffer,Diana Scarwid,James Remar,Miranda Otto,Robert Zemeckis,130,"['Drama', 'Horror', 'Mystery', 'Thriller']",DreamWorks SKG,United States of America,100000000,155464351,7/21/00,2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2654,12599,Pok?mon: The Movie 2000,7/17/99,6.2,84,"['Veronica Taylor', 'Rachael Lillis', 'Ed Paul', 'Ikue ?tani', 'Eric Stuart']",Veronica Taylor,Rachael Lillis,Ed Paul,Ikue ?tani,Eric Stuart,Kunihiko Yuyama,84,"['Adventure', 'Fantasy', 'Animation', 'Science Fiction', 'Family']",TV Tokyo,Japan,30000000,133949270,7/17/99,1999,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2661,10276,What About Bob?,5/17/91,6.7,90,"['Bill Murray', 'Richard Dreyfuss', 'Julie Hagerty', 'Charlie Korsmo', 'Kathryn Erbe']",Bill Murray,Richard Dreyfuss,Julie Hagerty,Charlie Korsmo,Kathryn Erbe,Frank Oz,100,['Comedy'],Touchwood Pacific Partners 1,United States of America,35000000,63710000,5/17/91,1991,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2667,12107,Nutty Professor II: The Klumps,7/27/00,4.7,115,"['Eddie Murphy', 'Janet Jackson', 'Larry Miller', 'John Ales', 'Richard Gant']",Eddie Murphy,Janet Jackson,Larry Miller,John Ales,Richard Gant,Peter Segal,106,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",Imagine Entertainment,United States of America,84000000,123307945,7/27/00,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2671,6282,Coyote Ugly,7/30/00,6,264,"['Piper Perabo', 'Adam Garcia', 'John Goodman', 'Izabella Miko', 'Tyra Banks']",Piper Perabo,Adam Garcia,John Goodman,Izabella Miko,Tyra Banks,David McNally,100,['Comedy'],Jerry Bruckheimer Films,United States of America,80000000,113916474,7/30/00,2000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2672,9383,Hollow Man,8/4/00,5.4,241,"['Elisabeth Shue', 'Kevin Bacon', 'Josh Brolin', 'Kim Dickens', 'Rhona Mitra']",Elisabeth Shue,Kevin Bacon,Josh Brolin,Kim Dickens,Rhona Mitra,Paul Verhoeven,112,"['Action', 'Science Fiction', 'Thriller']",Columbia Pictures Corporation,Germany,90000000,73209340,8/4/00,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
